layer,layer_def,dr,category,description,symbol,value
AT,Top metal,CO.W.1,Width,Width (maximum = minimum except for seal-ring and fuse protection ring) = 0.09 um,=,0.09 um
AT,Top metal,CO.S.1,Spacing,Space >= 0.11,>=,0.11 um
