,ckt,type,en,mi,rn,sn
0,AD01D0,arithmetic,False,False,False,False
1,AD01D1,arithmetic,False,False,False,False
2,AD01D2,arithmetic,False,False,False,False
3,AD01D3,arithmetic,False,False,False,False
4,AD01DM,arithmetic,False,False,False,False
5,ADFH01D0,arithmetic,False,False,False,False
6,ADFH01D1,arithmetic,False,False,False,False
7,ADFH01D2,arithmetic,False,False,False,False
8,AH01D0,arithmetic,False,False,False,False
9,AH01D1,arithmetic,False,False,False,False
10,AH01D2,arithmetic,False,False,False,False
11,AH01D3,arithmetic,False,False,False,False
12,AH01DM,arithmetic,False,False,False,False
13,AN02D0,complex,False,False,False,False
14,AN02D1,complex,False,False,False,False
15,AN02D1P5,complex,False,False,False,False
16,AN02D2,complex,False,False,False,False
17,AN02D2P5,complex,False,False,False,False
18,AN02D3P5,complex,False,False,False,False
19,AN02D4,complex,False,False,False,False
20,AN02DM,complex,False,False,False,False
21,AN03D0,complex,False,False,False,False
22,AN03D1,complex,False,False,False,False
23,AN03D2,complex,False,False,False,False
24,AN03D4,complex,False,False,False,False
25,AN03DM,complex,False,False,False,False
26,AN04D0,complex,False,False,False,False
27,AN04D1,complex,False,False,False,False
28,AN04D2,complex,False,False,False,False
29,AN04D4,complex,False,False,False,False
30,AN04DM,complex,False,False,False,False
31,AOI211D0,complex,False,False,False,False
32,AOI211D1,complex,False,False,False,False
33,AOI211D2,complex,False,False,False,False
34,AOI211D4,complex,False,False,False,False
35,AOI21D0,complex,False,False,False,False
36,AOI21D1,complex,False,False,False,False
37,AOI21D2,complex,False,False,False,False
38,AOI21D4,complex,False,False,False,False
39,AOI21DM,complex,False,False,False,False
40,AOI21MD0,complex,False,False,False,False
41,AOI21MD1,complex,False,False,False,False
42,AOI21MD2,complex,False,False,False,False
43,AOI21MD3,complex,False,False,False,False
44,AOI221D0,complex,False,False,False,False
45,AOI221D1,complex,False,False,False,False
46,AOI221D2,complex,False,False,False,False
47,AOI221D4,complex,False,False,False,False
48,AOI222D0,complex,False,False,False,False
49,AOI222D1,complex,False,False,False,False
50,AOI222D2,complex,False,False,False,False
51,AOI222D4,complex,False,False,False,False
52,AOI22D0,complex,False,False,False,False
53,AOI22D1,complex,False,False,False,False
54,AOI22D2,complex,False,False,False,False
55,AOI22D4,complex,False,False,False,False
56,AOI22DM,complex,False,False,False,False
57,AOI2M1D0,complex,False,False,False,False
58,AOI2M1D1,complex,False,False,False,False
59,AOI2M1D2,complex,False,False,False,False
60,AOI2M1D4,complex,False,False,False,False
61,AOI31D0,complex,False,False,False,False
62,AOI31D1,complex,False,False,False,False
63,AOI31D2,complex,False,False,False,False
64,AOI31D4,complex,False,False,False,False
65,AOI31DM,complex,False,False,False,False
66,AOI32D0,complex,False,False,False,False
67,AOI32D1,complex,False,False,False,False
68,AOI32D2,complex,False,False,False,False
