netlist_pin,ascell_pin
VDD,VDD
Q,Q
VSS,VSS
D1,D1
D0,D0
CK,CK
QN,QN
D,D
CKN,CKN
RN,RN
SE,SE
SI,SI
GN,GN
G,G
