netlist_pin,ascell_pin
CO,CO
S,S
VDD,VDD
VNW,VNW
VPW,VPW
VSS,VSS
A,A
B,B
CI,CI
Y,Y
C,C
D,D
A0,A0
A1,A1
B0,B0
B1,B1
A1N,A1N
B1N,B1N
C0,C0
B0N,B0N
C1,C1
A0N,A0N
A2,A2
B2,B2
S0,S0
QN,QN
CK,CK
Q,Q
CKN,CKN
RN,RN
SN,SN
E,E
D0,D0
D1,D1
S1,S1
AN,AN
BN,BN
SE,SE
SI,SI
OE,OE
ECK,ECK
GN,GN
G,G
