,nodes,devices
ND23D1,12,10
ND23D2,12,10
OAI311D1,12,10
OAI311D0,12,10
OAI311D2,12,10
OAI32D0,12,10
OAI32D1,12,10
OAIM31D0,12,10
OAIM31D1,12,10
OAIM31D2,12,10
OAI221D2,12,10
ND14D1,12,10
NR14D0,12,10
NR14D1,12,10
OAI32D2,12,10
OAIM211D1,12,10
OR04D0,12,10
OAIM2M11D2,12,10
AOR31D2,12,10
AOI32D2,12,10
AOR22D1,12,10
ORA211D1,12,10
ORA211D2,12,10
ORA31D0,12,10
ORA31D1,12,10
ORA31D2,12,10
AOIM22D0,12,10
AOIM22D1,12,10
AOIM22D2,12,10
AOIM31D0,12,10
AOIM31D1,12,10
AOIM31D2,12,10
BUFTLD2,12,10
BUFTLD1,12,10
BUFTLD0,12,10
AOR211D0,12,10
AOR211D1,12,10
AOR211D2,12,10
BUFTD2,12,10
BUFTD1,12,10
BUFTD0,12,10
AOR31D1,12,10
AOR31D0,12,10
AOR22D0,12,10
AOI32D1,12,10
AOI32D0,12,10
ORA211D0,12,10
OR13D1,12,10
AN04D0,12,10
AN04D1,12,10
AN04D2,12,10
AN13D0,12,10
AN13D1,12,10
OR13D2,12,10
AN13D2,12,10
AOI221D0,12,10
AOI221D1,12,10
AOI221D2,12,10
AOR22D2,12,10
INV0D10,12,10
OR04D2,12,10
OAIM2M11D1,12,10
OR04D1,12,10
OR13D0,12,10
XR02D2,14,12
XR02D1,14,12
OAI222D2,14,12
AOR221D2,14,12
AOR221D1,14,12
AOR221D0,14,12
OAI222D1,14,12
OAI33D2,14,12
OAI33D1,14,12
OAI33D0,14,12
AOI33D1,14,12
OAI321D2,14,12
OAI321D1,14,12
OAI321D0,14,12
NR24D0,14,12
NR24D1,14,12
AN23D0,14,12
AN23D1,14,12
AN23D2,14,12
AOI33D0,14,12
AOI33D2,14,12
OAI222D0,14,12
NR24D2,14,12
BUFTLD4,14,12
AOR311D1,14,12
AOR311D0,14,12
MX02D0,14,12
MX02D1,14,12
MX02D2,14,12
OR23D0,14,12
OR23D2,14,12
ORA311D1,14,12
ORA311D2,14,12
XN02D0,14,12
XN02D1,14,12
XN02D2,14,12
OR23D1,14,12
AOR311D2,14,12
XR02D0,14,12
ND24D0,14,12
ND24D1,14,12
ND24D2,14,12
BUFFD8,14,12
OAI322D2,16,14
OAI322D1,16,14
OAI322D0,16,14
BUFFD10,16,14
BUFTLD6,16,14
LANHQ1,18,16
LANHQ2,18,16
LANLN1,18,16
LANLN2,18,16
LANLQ1,18,16
LANHN1,18,16
AH01D0,18,16
AH01D2,18,16
LANHN2,18,16
AH01D1,18,16
BUFTLD8,18,16
LANLQ2,18,16
LANLB2,20,18
LANLB1,20,18
LANHB1,20,18
TLATNCAD1,20,18
TLATNCAD2,20,18
LANHB2,20,18
LACLQ2,21,19
LACLQ1,21,19
LACHQ1,21,19
LACHQ2,21,19
LANHT2,22,20
LANHT1,22,20
LACHB2,23,21
LACHB1,23,21
LACLB2,23,21
LACLB1,23,21
TLATNCAD4,24,22
XN03D0,24,22
XN03D1,24,22
XR03D0,24,22
XN03D2,24,22
XR03D2,24,22
XR03D1,24,22
LAPLB2,25,23
LAPLB1,25,23
LAPHB2,25,23
LAPHB1,25,23
TLATNTSCAD1,26,24
TLATNTSCAD2,26,24
MX04D1,28,26
MX04D0,28,26
DFNRN1,28,26
DFNRN2,28,26
DFNRQ1,28,26
DFNRQ2,28,26
MX04D2,28,26
LABHB1,29,27
LABHB2,29,27
LABLB1,29,27
LABLB2,29,27
AD01D2,30,28
DFNRB1,30,28
DFNFB1,30,28
AD01D1,30,28
AD01D0,30,28
DFNRB2,30,28
TLATNTSCAD4,30,28
DFNFB2,30,28
MI04D2,32,30
MI04D1,32,30
MI04D0,32,30
DFCRN2,34,32
DFCRN1,34,32
DFPRQ2,34,32
DFPRQ1,34,32
DFCRQ2,36,34
DFPRB2,36,34
DFPRB1,36,34
DFCFQ1,36,34
DFCFQ2,36,34
SDNRQ2,36,34
DFPFB1,36,34
SDNRN2,36,34
SDNRN1,36,34
SDNRQ1,36,34
DFCRQ1,36,34
DFPFB2,36,34
DFCRB2,38,36
DFCFB2,38,36
DFCFB1,38,36
SDNFB1,38,36
SDNFB2,38,36
SDNRB1,38,36
SDNRB2,38,36
DFCRB1,38,36
DFBRQ2,42,40
DFBRB1,42,40
DFBRB2,42,40
DFBFB2,42,40
DFBFB1,42,40
DFBRQ1,42,40
SDPRQ2,42,40
SDCRN1,42,40
SDCRN2,42,40
SDPRQ1,42,40
SDPFB1,44,42
SDCRQ1,44,42
SDCRQ2,44,42
SDCFQ1,44,42
SDPFB2,44,42
SDCFQ2,44,42
SDPRB1,44,42
SDPRB2,44,42
SDCFB2,46,44
SDCRB1,46,44
SDCFB1,46,44
SDCRB2,46,44
SDBRB2,50,48
SDBRQ1,50,48
SDBRQ2,50,48
SDBFB2,50,48
SDBFB1,50,48
SDBRB1,50,48
