,nodes,devices
FILLERCAP16,4,2
FILLERCAP4,4,2
FILLERCAP64,4,2
FILLERCAP8,4,2
INV0D0,4,2
INV0D1,4,2
TIELO,4,2
TIEHI,4,2
FILLERCAP32,4,2
INV0D2,4,2
BUFFD1,6,4
NR02D0,6,4
NR02D1,6,4
NR02D2,6,4
BUFFD2,6,4
BUFFD0,6,4
ND02D0,6,4
ND02D1,6,4
ND02D2,6,4
INV0D3,6,4
INV0D4,6,4
OR02D1,8,6
NR12D2,8,6
NR12D1,8,6
NR12D0,8,6
NR03D2,8,6
INVTLD2,8,6
NR03D1,8,6
INVTLD1,8,6
BUFFD3,8,6
BUFFD4,8,6
NR03D0,8,6
INVTLD0,8,6
INVTD1,8,6
OR02D2,8,6
ND12D2,8,6
ND12D1,8,6
ND12D0,8,6
INV0D6,8,6
INV0D5,8,6
ND03D2,8,6
ND03D1,8,6
ND03D0,8,6
OAI21D0,8,6
OR02D0,8,6
INVTD2,8,6
OAI21D1,8,6
INVTD0,8,6
AN02D1,8,6
AOI21D1,8,6
AOI21D2,8,6
AOI21D0,8,6
OAI21D2,8,6
AN02D0,8,6
AN02D2,8,6
OAI31D2,10,8
ORA21D0,10,8
ORA21D1,10,8
ORA21D2,10,8
OAI31D1,10,8
OAI31D0,10,8
AOIM21D0,10,8
ND04D1,10,8
AN12D2,10,8
AOI211D0,10,8
ND04D2,10,8
AOI211D2,10,8
ND13D0,10,8
ND04D0,10,8
AN12D1,10,8
OR12D2,10,8
ND13D1,10,8
OR03D1,10,8
OR03D0,10,8
OR12D0,10,8
OR12D1,10,8
OAIM21D2,10,8
INV0D8,10,8
OAIM21D1,10,8
OAIM21D0,10,8
AN03D0,10,8
AN03D1,10,8
AN03D2,10,8
DL02D2,10,8
DL02D1,10,8
DL02D0,10,8
DL01D2,10,8
DL01D1,10,8
DL01D0,10,8
AN12D0,10,8
ND13D2,10,8
AOI211D1,10,8
NR13D1,10,8
AOR21D2,10,8
NR13D2,10,8
NR13D0,10,8
OAI211D0,10,8
OAI22D0,10,8
OAI22D1,10,8
NR04D2,10,8
NR04D1,10,8
OAI211D1,10,8
OAI211D2,10,8
AOR21D1,10,8
NR04D0,10,8
AOI31D2,10,8
AOI31D1,10,8
AOR21D0,10,8
AOI31D0,10,8
AOI22D2,10,8
AOIM21D1,10,8
AOI22D1,10,8
AOI22D0,10,8
BUFFD5,10,8
BUFFD6,10,8
OAI22D2,10,8
OR03D2,10,8
AOIM21D2,10,8
NR14D2,12,10
MI02D2,12,10
NR23D0,12,10
NR23D1,12,10
OAIM211D2,12,10
OAI221D1,12,10
MI02D0,12,10
OAI221D0,12,10
OAIM2M11D0,12,10
MI02D1,12,10
OAIM22D0,12,10
OAIM22D2,12,10
NR23D2,12,10
OAIM22D1,12,10
ND14D0,12,10
OAIM211D0,12,10
ND14D2,12,10
ND23D0,12,10
