,nodes,devices
LANHB1,20,18
LANHB0,20,18
NR14D2,20,18
LANLB0,20,18
LANLB1,20,18
ND14D2,20,18
ORA222D2,20,18
AH01D0,20,18
AH01D1,20,18
CKINVD10,20,18
AH01DM,20,18
CKBUFD7,20,18
BUFTD4,20,18
AOR21D4,21,19
AOI221D2,21,19
INVTLD2,21,19
TLATNFTSCAD1,22,20
TLATNFCAD0,22,20
ND24D2,22,20
AOI32D2,22,20
MX03D0,22,20
MX03D1,22,20
CKXR02D4,22,20
ORA21D4,22,20
TLATNTSCAD0,22,20
OR03D4,22,20
OR02D4P5,22,20
TLATNFTSCAD0,22,20
CKBUFD8,22,20
TLATNCAD1,22,20
AN03D4,22,20
AN02D3P5,22,20
TLATNFCAD1,22,20
TLATNCAD0,22,20
NR24D2,22,20
INVTLD4,22,20
BUFFD7,22,20
ND12D3,22,20
OAI221D2,22,20
BUFTD2,23,21
LACHB0,23,21
CKXN02D4,23,21
LACHB1,23,21
LACLB0,23,21
CKMX02D4,23,21
LACLB1,23,21
XN03D0,24,22
AOI21D4,24,22
XR03D0,24,22
XN03DM,24,22
AOIM21D3,24,22
XN03D1,24,22
XR03D1,24,22
XR03DM,24,22
TLATNCAD2,24,22
AOR211D4,24,22
BUFFD8,24,22
FILLERCAP64,24,22
CKINVD12,24,22
CKBUFD10,24,22
TLATNTSCAD1,24,22
OAI32D2,24,22
AH01D2,25,23
AOR31D4,25,23
LAPHB0,25,23
LAPLB0,25,23
LAPHB1,25,23
OR04D4,26,24
LABLB0,26,24
TLATNTSCAD2,26,24
ORA31D4,26,24
CKINVD14,26,24
ORA22D4,26,24
INV0D12,26,24
OAI21D4,26,24
LABHB0,26,24
OAIM21D4,26,24
XN03D2,26,24
AOI21MD3,26,24
AOI222D2,26,24
TLATNFCAD2,26,24
ND03D3,26,24
AOR22D4,26,24
TLATNFTSCAD2,26,24
MX02D3,26,24
NR03D4,26,24
MX03D2,26,24
AN04D4,26,24
ORA211D4,26,24
XR03D2,27,25
LACLB2,27,25
LAPLB1,27,25
AOI33D2,27,25
LABLB1,27,25
NR13D4,28,26
OAI33D2,28,26
AD01D0,28,26
CKOR02D4,28,26
DFNRQ0,28,26
DFNRQ1,28,26
DFNFQ1,28,26
CKBUFD12,28,26
BUFTD6,28,26
LANHB2,28,26
AOI2M1D4,28,26
MI02D3,28,26
DFNFQ0,28,26
MX04D0,28,26
MX03D3,28,26
AD01DM,28,26
ND13D3,28,26
MX04D1,28,26
MX04DM,28,26
AOR221D4,29,27
LACHB2,29,27
OAI21MD4,29,27
XR02D4,29,27
XN02D4,29,27
LABHB1,29,27
INVTLD6,30,28
OAI2M1D4,30,28
AOI211D4,30,28
OAI222D2,30,28
DFNFB0,30,28
DFANRQ1,30,28
DFANRQ0,30,28
CKINVD16,30,28
DFSCRQ1,30,28
DFSCRQ0,30,28
DFPFB0,30,28
DFNFB1,30,28
DFNFQ2,30,28
AD01D1,30,28
DFNRB1,30,28
DFNRB0,30,28
LANLB2,30,28
DFPFB1,31,29
LAPLB2,31,29
CKBUFD14,31,29
LAPHB2,31,29
DFNRQ2,32,30
DFCRQM,32,30
DFPRB0,32,30
DFCRQ0,32,30
ORA221D4,32,30
DFBRQ0,32,30
AOIM22D4,32,30
DFCFB0,32,30
TLATNCAD4,32,30
TLATNFCAD4,32,30
DFPRQM,33,31
AOI31D4,33,31
DFPRQ1,33,31
DFPRQ0,33,31
DFCRB0,33,31
DFCRQ1,33,31
AOI22D4,34,32
DFNFB2,34,32
XN03D4,34,32
AOR222D4,34,32
CKBUFD16,34,32
DFANRQ2,34,32
DFBRB0,34,32
DFBRBM,34,32
DFCFB1,34,32
DFBRQ1,34,32
BUFFD12,34,32
DFBFB0,34,32
NR04D4,34,32
INV0D16,34,32
ND04D3,34,32
DFSCRQ2,34,32
OAI31D4,34,32
OAI22D4,34,32
DFPRB1,34,32
OAI211D4,34,32
OAIM22D4,34,32
ADFH01D0,35,33
BUFTD8,35,33
DFCRB1,35,33
AD01D2,35,33
TLATNTSCAD4,35,33
XR03D4,35,33
DFCRBM,35,33
LANHB3,36,34
LANLB3,36,34
NR14D4,36,34
DFNRB2,36,34
INVTLD8,36,34
SDNFQ0,36,34
SDNFQ1,36,34
SDNRQ1,36,34
DENRQ0,36,34
LABLB2,36,34
SDNRQ0,36,34
DMNRQ1,36,34
DFBFB1,36,34
DFPFB2,36,34
DFBRB1,36,34
ADFH01D1,36,34
DMNRQ0,36,34
LAPHB3,37,35
LAPLB3,37,35
DFCRQ3,37,35
DENRQ1,37,35
SDANRQ1,38,36
ND14D3,38,36
SDANRQ0,38,36
DFPRQ2,38,36
SDNRB0,38,36
TLATNFTSCAD4,38,36
LACLB3,38,36
NR24D4,38,36
SDSCRQ0,38,36
SDNRB1,38,36
SDNFB0,38,36
SDNFB1,38,36
ORA222D4,38,36
ND24D3,38,36
SDPFB0,38,36
SDPFB1,38,36
