,nodes,devices
F_FILLHS16,2,0
FILLTIEHS,2,0
F_FILLHS1,2,0
F_FILLHS2,2,0
F_FILLHS8,2,0
F_FILLHS4,2,0
INHSV16,4,2
INHSV2P5,4,2
INHSV24SR,4,2
INHSV24,4,2
INHSV20SR,4,2
INHSV20,4,2
INHSV2,4,2
INHSV1SR,4,2
INHSV16SR,4,2
CLKNHSV3,4,2
INHSV12SR,4,2
INHSV12,4,2
INHSV10SR,4,2
INHSV10,4,2
INHSV2SR,4,2
INHSV1,4,2
INHSV0P5SR,4,2
INHSV0P5,4,2
INHSV0,4,2
CLKNHSV32,4,2
CLKNHSV4,4,2
CLKNHSV48,4,2
CLKNHSV5,4,2
CLKNHSV6,4,2
FDCAPHS8,4,2
FDCAPHS64,4,2
FDCAPHS4,4,2
FDCAPHS32,4,2
FDCAPHS16,4,2
INHSV0SR,4,2
INHSV3,4,2
INHSV32,4,2
INHSV32SR,4,2
CLKNHSV0,4,2
CLKNHSV0P5,4,2
CLKNHSV1,4,2
CLKNHSV10,4,2
CLKNHSV12,4,2
CLKNHSV16,4,2
CLKNHSV2,4,2
CLKNHSV20,4,2
CLKNHSV24,4,2
CLKNHSV2P5,4,2
CLKNHSV8,4,2
INHSV8,4,2
INHSV8SR,4,2
PULLHS0,4,2
INHSV3SR,4,2
INHSV4,4,2
INHSV48,4,2
PULLHS1,4,2
INHSV4SR,4,2
INHSV48SR,4,2
INHSV5SR,4,2
INHSV6,4,2
INHSV64,4,2
INHSV64SR,4,2
INHSV6SR,4,2
INHSV5,4,2
CLKNHSV64,4,2
BUFHSV40RQ,6,4
BUFHSV40RO,6,4
BUFHSV40,6,4
BUFHSV4,6,4
BUFHSV16,6,4
BUFHSV48,6,4
CLKBUFHSV12RQ,6,4
CLKBUFHSV12RO,6,4
CLKBUFHSV12,6,4
CLKBUFHSV1,6,4
CLKBUFHSV0P5,6,4
CLKBUFHSV0,6,4
BUFHSV8RT,6,4
BUFHSV8RQ,6,4
BUFHSV40RT,6,4
BUFHSV8RO,6,4
BUFHSV6RT,6,4
BUFHSV6RQ,6,4
BUFHSV6,6,4
BUFHSV4RT,6,4
BUFHSV3RT,6,4
BUFHSV4RQ,6,4
BUFHSV48RQ,6,4
BUFHSV48RO,6,4
BUFHSV8,6,4
BUFHSV3RQ,6,4
BUFHSV1,6,4
BUFHSV32RQ,6,4
BUFHSV16RO,6,4
BUFHSV16RQ,6,4
BUFHSV16RT,6,4
BUFHSV1RT,6,4
