_latch    , c110      , LAPHB0         :  LAPHB          ,  ['LA', 'P', 'H', 'B', '', '', ''] 
_latch    , c110      , LAPHB1         :  LAPHB          ,  ['LA', 'P', 'H', 'B', '', '', ''] 
_latch    , c110      , LAPHB2         :  LAPHB          ,  ['LA', 'P', 'H', 'B', '', '', ''] 
_latch    , c110      , LAPHB3         :  LAPHB          ,  ['LA', 'P', 'H', 'B', '', '', ''] 
_latch    , c110      , LAPLB0         :  LAPLB          ,  ['LA', 'P', 'L', 'B', '', '', ''] 
_latch    , c110      , LAPLB1         :  LAPLB          ,  ['LA', 'P', 'L', 'B', '', '', ''] 
_latch    , c110      , LAPLB2         :  LAPLB          ,  ['LA', 'P', 'L', 'B', '', '', ''] 
_latch    , c110      , LAPLB3         :  LAPLB          ,  ['LA', 'P', 'L', 'B', '', '', ''] 
_latch    , c110      , TLATNCAD0      :  CGNRK_E        ,  ['CG', 'N', 'R', 'K', '_E', '', ''] 
_latch    , c110      , TLATNCAD1      :  CGNRK_E        ,  ['CG', 'N', 'R', 'K', '_E', '', ''] 
_latch    , c110      , TLATNCAD2      :  CGNRK_E        ,  ['CG', 'N', 'R', 'K', '_E', '', ''] 
_latch    , c110      , TLATNCAD4      :  CGNRK_E        ,  ['CG', 'N', 'R', 'K', '_E', '', ''] 
_latch    , c110      , TLATNFCAD0     :  CGNFK_E        ,  ['CG', 'N', 'F', 'K', '_E', '', ''] 
_latch    , c110      , TLATNFCAD1     :  CGNFK_E        ,  ['CG', 'N', 'F', 'K', '_E', '', ''] 
_latch    , c110      , TLATNFCAD2     :  CGNFK_E        ,  ['CG', 'N', 'F', 'K', '_E', '', ''] 
_latch    , c110      , TLATNFCAD4     :  CGNFK_E        ,  ['CG', 'N', 'F', 'K', '_E', '', ''] 
_latch    , c110      , TLATNFTSCAD0   :  SDNFK_E        ,  ['SD', 'N', 'F', 'K', '_E', '', ''] 
_latch    , c110      , TLATNFTSCAD1   :  SDNFK_E        ,  ['SD', 'N', 'F', 'K', '_E', '', ''] 
_latch    , c110      , TLATNFTSCAD2   :  SDNFK_E        ,  ['SD', 'N', 'F', 'K', '_E', '', ''] 
_latch    , c110      , TLATNFTSCAD4   :  SDNFK_E        ,  ['SD', 'N', 'F', 'K', '_E', '', ''] 
_latch    , c110      , TLATNTSCAD0    :  SDNRK_E        ,  ['SD', 'N', 'R', 'K', '_E', '', ''] 
_latch    , c110      , TLATNTSCAD1    :  SDNRK_E        ,  ['SD', 'N', 'R', 'K', '_E', '', ''] 
_latch    , c110      , TLATNTSCAD2    :  SDNRK_E        ,  ['SD', 'N', 'R', 'K', '_E', '', ''] 
_latch    , c110      , TLATNTSCAD4    :  SDNRK_E        ,  ['SD', 'N', 'R', 'K', '_E', '', ''] 
_latch    , s65       , CLKLAHAQHSV1   :  CGNRK_E_BC     ,  ['CG', 'N', 'R', 'K', '_E', '_BC', ''] 
_latch    , s65       , CLKLAHAQHSV2   :  CGNRK_E_BC     ,  ['CG', 'N', 'R', 'K', '_E', '_BC', ''] 
_latch    , s65       , CLKLAHAQHSV4   :  CGNRK_E_BC     ,  ['CG', 'N', 'R', 'K', '_E', '_BC', ''] 
_latch    , s65       , CLKLAHAQHSV8   :  CGNRK_E_BC     ,  ['CG', 'N', 'R', 'K', '_E', '_BC', ''] 
_latch    , s65       , CLKLAHQHSV1    :  CGNRK_E_FC     ,  ['CG', 'N', 'R', 'K', '_E', '_FC', ''] 
_latch    , s65       , CLKLAHQHSV2    :  CGNRK_E_FC     ,  ['CG', 'N', 'R', 'K', '_E', '_FC', ''] 
_latch    , s65       , CLKLAHQHSV4    :  CGNRK_E_FC     ,  ['CG', 'N', 'R', 'K', '_E', '_FC', ''] 
_latch    , s65       , CLKLAHQHSV8    :  CGNRK_E_FC     ,  ['CG', 'N', 'R', 'K', '_E', '_FC', ''] 
_latch    , s65       , CLKLANAQHSV1   :  CGNRK_E_BC     ,  ['CG', 'N', 'R', 'K', '_E', '_BC', ''] 
_latch    , s65       , CLKLANAQHSV2   :  CGNRK_E_BC     ,  ['CG', 'N', 'R', 'K', '_E', '_BC', ''] 
_latch    , s65       , CLKLANAQHSV4   :  CGNRK_E_BC     ,  ['CG', 'N', 'R', 'K', '_E', '_BC', ''] 
_latch    , s65       , CLKLANAQHSV8   :  CGNRK_E_BC     ,  ['CG', 'N', 'R', 'K', '_E', '_BC', ''] 
_latch    , s65       , CLKLANQHSV1    :  CGNRK_E_FC     ,  ['CG', 'N', 'R', 'K', '_E', '_FC', ''] 
_latch    , s65       , CLKLANQHSV12   :  CGNRK_E_FC     ,  ['CG', 'N', 'R', 'K', '_E', '_FC', ''] 
_latch    , s65       , CLKLANQHSV16   :  CGNRK_E_FC     ,  ['CG', 'N', 'R', 'K', '_E', '_FC', ''] 
_latch    , s65       , CLKLANQHSV2    :  CGNRK_E_FC     ,  ['CG', 'N', 'R', 'K', '_E', '_FC', ''] 
_latch    , s65       , CLKLANQHSV20   :  CGNRK_E_FC     ,  ['CG', 'N', 'R', 'K', '_E', '_FC', ''] 
_latch    , s65       , CLKLANQHSV24   :  CGNRK_E_FC     ,  ['CG', 'N', 'R', 'K', '_E', '_FC', ''] 
_latch    , s65       , CLKLANQHSV3    :  CGNRK_E_FC     ,  ['CG', 'N', 'R', 'K', '_E', '_FC', ''] 
_latch    , s65       , CLKLANQHSV4    :  CGNRK_E_FC     ,  ['CG', 'N', 'R', 'K', '_E', '_FC', ''] 
_latch    , s65       , CLKLANQHSV6    :  CGNRK_E_FC     ,  ['CG', 'N', 'R', 'K', '_E', '_FC', ''] 
_latch    , s65       , CLKLANQHSV8    :  CGNRK_E_FC     ,  ['CG', 'N', 'R', 'K', '_E', '_FC', ''] 
_latch    , s65       , LAHHSV1        :  LANHB          ,  ['LA', 'N', 'H', 'B', '', '', ''] 
_latch    , s65       , LAHHSV2        :  LANHB          ,  ['LA', 'N', 'H', 'B', '', '', ''] 
_latch    , s65       , LAHHSV4        :  LANHB          ,  ['LA', 'N', 'H', 'B', '', '', ''] 
_latch    , s65       , LAHRNHSV1      :  LACHB          ,  ['LA', 'C', 'H', 'B', '', '', ''] 
_latch    , s65       , LAHRNHSV2      :  LACHB          ,  ['LA', 'C', 'H', 'B', '', '', ''] 
_latch    , s65       , LAHRNHSV4      :  LACHB          ,  ['LA', 'C', 'H', 'B', '', '', ''] 
_latch    , s65       , LAHRSNHSV1     :  LABHB          ,  ['LA', 'B', 'H', 'B', '', '', ''] 
_latch    , s65       , LAHRSNHSV2     :  LABHB          ,  ['LA', 'B', 'H', 'B', '', '', ''] 
_latch    , s65       , LAHRSNHSV4     :  LABHB          ,  ['LA', 'B', 'H', 'B', '', '', ''] 
_latch    , s65       , LAHSNHSV1      :  LAPHB          ,  ['LA', 'P', 'H', 'B', '', '', ''] 
_latch    , s65       , LAHSNHSV2      :  LAPHB          ,  ['LA', 'P', 'H', 'B', '', '', ''] 
_latch    , s65       , LAHSNHSV4      :  LAPHB          ,  ['LA', 'P', 'H', 'B', '', '', ''] 
_latch    , s65       , LALHSV1        :  LANLB          ,  ['LA', 'N', 'L', 'B', '', '', ''] 
_latch    , s65       , LALHSV2        :  LANLB          ,  ['LA', 'N', 'L', 'B', '', '', ''] 
_latch    , s65       , LALHSV4        :  LANLB          ,  ['LA', 'N', 'L', 'B', '', '', ''] 
_latch    , s65       , LALRNHSV1      :  LACLB          ,  ['LA', 'C', 'L', 'B', '', '', ''] 
_latch    , s65       , LALRNHSV2      :  LACLB          ,  ['LA', 'C', 'L', 'B', '', '', ''] 
_latch    , s65       , LALRNHSV4      :  LACLB          ,  ['LA', 'C', 'L', 'B', '', '', ''] 
_latch    , s65       , LALRSNHSV1     :  LABLB          ,  ['LA', 'B', 'L', 'B', '', '', ''] 
_latch    , s65       , LALRSNHSV2     :  LABLB          ,  ['LA', 'B', 'L', 'B', '', '', ''] 
_latch    , s65       , LALRSNHSV4     :  LABLB          ,  ['LA', 'B', 'L', 'B', '', '', ''] 
_latch    , s65       , LALSNHSV1      :  LAPLB          ,  ['LA', 'P', 'L', 'B', '', '', ''] 
_latch    , s65       , LALSNHSV2      :  LAPLB          ,  ['LA', 'P', 'L', 'B', '', '', ''] 
_latch    , s65       , LALSNHSV4      :  LAPLB          ,  ['LA', 'P', 'L', 'B', '', '', ''] 
_latch    , s110      , TLATNCAX12MTR  :  CGNRK_E        ,  ['CG', 'N', 'R', 'K', '_E', '', ''] 
_latch    , s110      , TLATNCAX16MTR  :  CGNRK_E        ,  ['CG', 'N', 'R', 'K', '_E', '', ''] 
_latch    , s110      , TLATNCAX20MTR  :  CGNRK_E        ,  ['CG', 'N', 'R', 'K', '_E', '', ''] 
_latch    , s110      , TLATNCAX2MTR   :  CGNRK_E        ,  ['CG', 'N', 'R', 'K', '_E', '', ''] 
_latch    , s110      , TLATNCAX3MTR   :  CGNRK_E        ,  ['CG', 'N', 'R', 'K', '_E', '', ''] 
_latch    , s110      , TLATNCAX4MTR   :  CGNRK_E        ,  ['CG', 'N', 'R', 'K', '_E', '', ''] 
_latch    , s110      , TLATNCAX6MTR   :  CGNRK_E        ,  ['CG', 'N', 'R', 'K', '_E', '', ''] 
_latch    , s110      , TLATNCAX8MTR   :  CGNRK_E        ,  ['CG', 'N', 'R', 'K', '_E', '', ''] 
_latch    , s110      , TLATNSRX1MTR   :  LABLB          ,  ['LA', 'B', 'L', 'B', '', '', ''] 
_latch    , s110      , TLATNSRX2MTR   :  LABLB          ,  ['LA', 'B', 'L', 'B', '', '', ''] 
_latch    , s110      , TLATNSRX4MTR   :  LABLB          ,  ['LA', 'B', 'L', 'B', '', '', ''] 
_latch    , s110      , TLATNTSCAX12MTR:  SDNRK_E        ,  ['SD', 'N', 'R', 'K', '_E', '', ''] 
_latch    , s110      , TLATNTSCAX16MTR:  SDNRK_E        ,  ['SD', 'N', 'R', 'K', '_E', '', ''] 
_latch    , s110      , TLATNTSCAX20MTR:  SDNRK_E        ,  ['SD', 'N', 'R', 'K', '_E', '', ''] 
_latch    , s110      , TLATNTSCAX2MTR :  SDNRK_E        ,  ['SD', 'N', 'R', 'K', '_E', '', ''] 
_latch    , s110      , TLATNTSCAX3MTR :  SDNRK_E        ,  ['SD', 'N', 'R', 'K', '_E', '', ''] 
_latch    , s110      , TLATNTSCAX4MTR :  SDNRK_E        ,  ['SD', 'N', 'R', 'K', '_E', '', ''] 
_latch    , s110      , TLATNTSCAX6MTR :  SDNRK_E        ,  ['SD', 'N', 'R', 'K', '_E', '', ''] 
_latch    , s110      , TLATNTSCAX8MTR :  SDNRK_E        ,  ['SD', 'N', 'R', 'K', '_E', '', ''] 
_latch    , s110      , TLATNX1MTR     :  LANLB          ,  ['LA', 'N', 'L', 'B', '', '', ''] 
_latch    , s110      , TLATNX2MTR     :  LANLB          ,  ['LA', 'N', 'L', 'B', '', '', ''] 
_latch    , s110      , TLATNX4MTR     :  LANLB          ,  ['LA', 'N', 'L', 'B', '', '', ''] 
_latch    , s110      , TLATSRX1MTR    :  LABHB          ,  ['LA', 'B', 'H', 'B', '', '', ''] 
_latch    , s110      , TLATSRX2MTR    :  LABHB          ,  ['LA', 'B', 'H', 'B', '', '', ''] 
_latch    , s110      , TLATSRX4MTR    :  LABHB          ,  ['LA', 'B', 'H', 'B', '', '', ''] 
_latch    , s110      , TLATX1MTR      :  LANHB          ,  ['LA', 'N', 'H', 'B', '', '', ''] 
_latch    , s110      , TLATX2MTR      :  LANHB          ,  ['LA', 'N', 'H', 'B', '', '', ''] 
_latch    , s110      , TLATX4MTR      :  LANHB          ,  ['LA', 'N', 'H', 'B', '', '', ''] 
_dff      , c153      , DFBFB1         :  DFBFB          ,  ['DF', 'B', 'F', 'B', '', '', ''] 
_dff      , c153      , DFBFB2         :  DFBFB          ,  ['DF', 'B', 'F', 'B', '', '', ''] 
_dff      , c153      , DFBRB1         :  DFBRB          ,  ['DF', 'B', 'R', 'B', '', '', ''] 
_dff      , c153      , DFBRB2         :  DFBRB          ,  ['DF', 'B', 'R', 'B', '', '', ''] 
_dff      , c153      , DFBRQ1         :  DFBRQ          ,  ['DF', 'B', 'R', 'Q', '', '', ''] 
_dff      , c153      , DFBRQ2         :  DFBRQ          ,  ['DF', 'B', 'R', 'Q', '', '', ''] 
_dff      , c153      , DFCFB1         :  DFCFB          ,  ['DF', 'C', 'F', 'B', '', '', ''] 
_dff      , c153      , DFCFB2         :  DFCFB          ,  ['DF', 'C', 'F', 'B', '', '', ''] 
_dff      , c153      , DFCFQ1         :  DFCFQ          ,  ['DF', 'C', 'F', 'Q', '', '', ''] 
_dff      , c153      , DFCFQ2         :  DFCFQ          ,  ['DF', 'C', 'F', 'Q', '', '', ''] 
_dff      , c153      , DFCRB1         :  DFCRB          ,  ['DF', 'C', 'R', 'B', '', '', ''] 
_dff      , c153      , DFCRB2         :  DFCRB          ,  ['DF', 'C', 'R', 'B', '', '', ''] 
_dff      , c153      , DFCRN1         :  DFCRN          ,  ['DF', 'C', 'R', 'N', '', '', ''] 
_dff      , c153      , DFCRN2         :  DFCRN          ,  ['DF', 'C', 'R', 'N', '', '', ''] 
_dff      , c153      , DFCRQ1         :  DFCRQ          ,  ['DF', 'C', 'R', 'Q', '', '', ''] 
_dff      , c153      , DFCRQ2         :  DFCRQ          ,  ['DF', 'C', 'R', 'Q', '', '', ''] 
_dff      , c153      , DFNFB1         :  DFNFB          ,  ['DF', 'N', 'F', 'B', '', '', ''] 
_dff      , c153      , DFNFB2         :  DFNFB          ,  ['DF', 'N', 'F', 'B', '', '', ''] 
_dff      , c153      , DFNRB1         :  DFNRB          ,  ['DF', 'N', 'R', 'B', '', '', ''] 
_dff      , c153      , DFNRB2         :  DFNRB          ,  ['DF', 'N', 'R', 'B', '', '', ''] 
_dff      , c153      , DFNRN1         :  DFNRN          ,  ['DF', 'N', 'R', 'N', '', '', ''] 
