ascell,name,purpose,description
NW,TB,drawing," " 
AA,TO,drawing," " 
GT,GT,drawing," "  
SP,SP,drawing," "  
SN,SN,drawing," "  
CT,W1,drawing," "  
M1,A1,drawing," "  
V1,W2,drawing," "  
M2,A2,drawing," "  
BORDER,prBoundary,drawing," "  
M1TXT,A1TEXT,drawing," "  
SUBTXT,PT,txt," " 

