layer,prop,defination
NW,drawing ,N-Well
OD,drawing ,Active
PO,drawing ,Poly
PP,drawing ,P+ implant
NP,drawing ,N+ implant
CO,drawing ,Contact
M1,drawing ,Metal 1
VIA1,drawing ,Via12
M2,drawing ,Metal 2
VIA2,drawing ,Via23
M3,drawing ,Metal 3
VIA3,drawing ,Via34
M4,drawing ,Metal 4
VIA4,drawing ,Via45
M5,drawing ,Metal 5
VIA5,drawing ,Via56
M6,drawing ,Metal 6
