layer,layer_name,layer_purpose
NW,NWELL,drawing 
AA,DIFF,drawing
GT,POLY1,drawing
SP,PIMP,drawing
SN,NIMP,drawing
CT,CONT,drawing
M1,METAL1,drawing
V1,VIA12,drawing
M2,METAL2,drawing
V2,VIA23,drawing
M3,METAL3,drawing
V3,VIA34,drawing
M4,METAL4,drawing
V4,VIA45,drawing
M5,METAL5,drawing
V5,VIA56,drawing
M6,METAL6,drawing
M1Pin,METAL1,pin
M2Pin,METAL2,pin
M3Pin,METAL3,pin
M4Pin,METAL4,pin
M5Pin,METAL5,pin
M6Pin,METAL6,pin  
TXT,TEXT,drawing
