M15.8 nmos3v 92.075000 4.070000 94.475000 14.930000  93.565000 4.500000 MY 1u 10u
I12 pmos3v 91.090000 67.240000 93.910000 78.100000  92.000000 67.670000 R0 1u 10u
I13 pmos3v 83.390000 67.240000 86.210000 78.100000  85.300000 67.670000 MY 1u 10u
I14 pmos3v 91.090000 54.980000 93.910000 65.840000  92.000000 55.410000 R0 1u 10u
I15 pmos3v 83.390000 54.980000 86.210000 65.840000  85.300000 55.410000 MY 1u 10u
I54 nmos3v 37.835000 4.070000 40.855000 19.930000  38.745000 4.500000 R0 1.2u 15u
I55 nmos3v 29.135000 4.070000 32.155000 19.930000  31.245000 4.500000 MY 1.2u 15u
M7.3 nmos3v 34.775000 4.070000 37.375000 19.930000  35.265000 4.500000 R0 1.2u 15u
M7.1 nmos3v 31.295000 4.070000 33.895000 19.930000  31.785000 4.500000 R0 1.2u 15u
M7.2 nmos3v 33.035000 4.070000 35.635000 19.930000  34.725000 4.500000 MY 1.2u 15u
M15.2 nmos3v 85.495000 4.070000 88.315000 14.930000  87.405000 4.500000 MY 1u 10u
M21.1 pmos3v 34.690000 55.740000 38.090000 77.600000  35.600000 56.170000 R0 2u 21u
M21.3 pmos3v 39.770000 55.740000 43.170000 77.600000  40.680000 56.170000 R0 2u 21u
M21.5 pmos3v 44.850000 55.740000 48.250000 77.600000  45.760000 56.170000 R0 2u 21u
M21.7 pmos3v 49.930000 55.740000 53.330000 77.600000  50.840000 56.170000 R0 2u 21u
M21.9 pmos3v 55.010000 55.740000 58.410000 77.600000  55.920000 56.170000 R0 2u 21u
M21.11 pmos3v 60.090000 55.740000 63.490000 77.600000  61.000000 56.170000 R0 2u 21u
M21.13 pmos3v 65.170000 55.740000 68.570000 77.600000  66.080000 56.170000 R0 2u 21u
M21.15 pmos3v 70.250000 55.740000 73.650000 77.600000  71.160000 56.170000 R0 2u 21u
M20.3 pmos3v 9.290000 55.740000 12.690000 77.600000  10.200000 56.170000 R0 2u 21u
M20.5 pmos3v 14.370000 55.740000 17.770000 77.600000  15.280000 56.170000 R0 2u 21u
M20.7 pmos3v 19.450000 55.740000 22.850000 77.600000  20.360000 56.170000 R0 2u 21u
M19.1 pmos3v 24.530000 55.740000 27.930000 77.600000  25.440000 56.170000 R0 2u 21u
M19.3 pmos3v 29.610000 55.740000 33.010000 77.600000  30.520000 56.170000 R0 2u 21u
M18.4 pmos3v 6.750000 5.790000 10.150000 27.650000  7.660000 6.220000 R0 2u 21u
M18.1 pmos3v 4.210000 28.930000 8.030000 50.790000  7.120000 29.360000 MY 2u 21u
